ZOOKEEPER-107,Should s retry if leader fails and should the client API retry if s fails?
ZOOKEEPER-107,"Stop processing new operations, return failure for any further ops received"" Why do we need to change the leader if leader(M) is not in M'?"
ZOOKEEPER-107,H. What happens if a majority of M' keep failing during reconfig?
ZOOKEEPER-107,"What if D, E fail?"
ZOOKEEPER-107,"If the majority fails after phase 1, then this would mean sending a <abort-reconfig, version(M), M'> to M. Of course, one can argue - what if majority of M' fail after phase 3?"
ZOOKEEPER-107,"If C becomes a leader, then outcome is M''  J. Policies/ sanity checks  Should we allow removal of a peer in a 3 node configuration?"
ZOOKEEPER-107,How about in a 2-node configuration?
ZOOKEEPER-107,Can you please add section numbers to the design paper?
ZOOKEEPER-107,"> Also, in step 7, why do you send leader(M') along with <activate-config> message?"
ZOOKEEPER-107,E. This is very related to ZOOKEEPER-22 (how does a client know whether its operation has been executed if the leader failed) ?
ZOOKEEPER-107,What will M' do if the leader(M) fails?
ZOOKEEPER-107,"May I suggest that from implementation perspective, we leave this in future work/ improvements section?"
ZOOKEEPER-107,E. This is very related to ZOOKEEPER-22 (how does a client know whether its operation has been executed if the leader failed) ?
ZOOKEEPER-107,reconfiguration attempt and completed it or no further leader will (if we fix ZOOKEEPER-335 ) Why should we not fix ZOOKEEPER-335?
ZOOKEEPER-107,Won't the log divergence cause unpredictable outcome of reconfiguration?
ZOOKEEPER-107,How do you guarantee that once M' starts leader election all the transactions that are committed to M are also committed to M?
ZOOKEEPER-107,"(""Stop processing new operations, return failure for any further ops received"") necessary?"
ZOOKEEPER-107,What should we tell the administrator to do if majority of M' fail during reconfiguration?
ZOOKEEPER-107,Are going to assume that the admin needs to take a backup before doing the reconfig?
ZOOKEEPER-107,> What will M' do if the leader(M) fails?
ZOOKEEPER-107,> Why should we not fix ZOOKEEPER-335?
ZOOKEEPER-107,How do you guarantee that once M' > starts leader election all the transactions that are committed to M are also > committed to M?
ZOOKEEPER-107,"(""Stop processing new operations, return failure for > any further ops received"") necessary?"
ZOOKEEPER-107,> What should we tell the administrator to do if majority of M' fail > during > reconfiguration?
ZOOKEEPER-107,Are going to assume that the admin needs to take a backup > before doing > the reconfig?
ZOOKEEPER-107,"Hi Alex, Getting back to logistics, can you please set target date for the availability of this feature?"
ZOOKEEPER-107,"Hi all, Can any1 update the current status of the solution to this issue and how much progress has been done?"
ZOOKEEPER-107,Any chance there's an updated version of this patch against the latest zookeeper 3.4.3 ?
ZOOKEEPER-107,Why would they ever be anything other than the list I provided?
ZOOKEEPER-107,What's the purpose of the stat argument?
ZOOKEEPER-107,Or is this just for getting the version of that znode?
ZOOKEEPER-107,Would you like to update the last patch here and upload it ?
ZOOKEEPER-107,"Is there anything special you're doing with that currentEpoch file, Alex?"
ZOOKEEPER-107,the listFiles is probably related to this?
ZOOKEEPER-107,why?
ZOOKEEPER-107,Should we open a new jira for this?
ZOOKEEPER-107,I wonder if we should also throw an exception if pbb.hasRemaining() ?
ZOOKEEPER-107,> Should we open a new jira for this?
ZOOKEEPER-107,Do the reconfiguration tests pass for you when this bug is solved ?
ZOOKEEPER-107, Do the reconfiguration tests pass for you when this bug is solved ?
ZOOKEEPER-107,Anyone knows why this is happening ?
ZOOKEEPER-107,Perhaps some random number generator problems ?
ZOOKEEPER-107,reconfiguring flag is part of NIOConnectionFactory?
ZOOKEEPER-107,> reconfiguring flag is part of NIOConnectionFactory?
ZOOKEEPER-107,"Thawan, any ideas why it still fails on ""too many open files"" here ?"
ZOOKEEPER-107,Have you tested backward compatibility at all?
ZOOKEEPER-107,Any idea on what could cause this ?
ZOOKEEPER-107,Is anyone looking at the -1 for core tests and release audit from the last jenkins run?
ZOOKEEPER-107,Is there a reason you guys deviated from using the C++ test-drive infrastructure?
ZOOKEEPER-107,can you comment on why FdLeakTest was removed?
ZOOKEEPER-107,any objections?
ZOOKEEPER-107,Can someone take a look?
ZOOKEEPER-107,Any other ideas?
ZOOKEEPER-107,Would it be possible for me to get access to the buildbot?
ZOOKEEPER-107,how did that happen?
ZOOKEEPER-107,is jenkins not running properly or do we have a race condition?
ZOOKEEPER-107,What is different about our precommit builds that makes them seem less likely to fail?
ZOOKEEPER-107,Have you guys seen this error before?
ZOOKEEPER-107,Are you sure you have Clover in the runtime classpath?
ZOOKEEPER-107,Does anyone know when 3.5.0 will be released?
ZOOKEEPER-107,Is there any projected release date for the first stable 3.5.x?
ZOOKEEPER-108,Any way to test this case?
ZOOKEEPER-108,Is that true?
ZOOKEEPER-108,Also I dont understand the reasoning behind moving the pedning syncs up to the servers?
ZOOKEEPER-108,it took me a while to understand the bug and the fix  ... the patch looks good – with a few comments –  1) there are two unnecessary imports –  one of commitprocessor in followerrequestprocessor the other one of linkedlist in followerzookeeperserver can we remove them?
ZOOKEEPER-108,"2)  this code is a little confusing thugh it was there before as well –          if(request.type == ZooDefs.OpCode.sync){             zks.getLeader().processSync(request);             if(!zks.getLeader().syncHandler.containsKey(request.sessionId)) {                 zks.getLeader().syncHandler.put(request.sessionId, null);                 nextProcessor.processRequest(request);             }          } this is in ProposalRequestProcessor - why dont we do nextprocessor.processRequest if we have the session in the synchandler?"
ZOOKEEPER-110,which is effectively a GPL-like viral clause with an escape clause that lets TMate give/sell exceptions.
ZOOKEEPER-110,"Jakob – notice that Hadoop core does something very similar, however they use a script, could you reuse this rather than relying on a third party library?"
ZOOKEEPER-110,What other options are available?
ZOOKEEPER-110,In ant there is no way to determine we are on windows and run another script?
ZOOKEEPER-110,"What about Mac users, are they covered as well?"
ZOOKEEPER-110,Andrew – would you be able to provide a working .bat file?
ZOOKEEPER-110,can we add apache headers to .sh files?
ZOOKEEPER-111,"Here is the output:  [junit] Tests run: 2, Failures: 2, Errors: 0, Time elapsed: 65.939 sec     [junit] java.net.SocketException: Software caused connection abort: socket write error     [junit] 	at java.net.SocketOutputStream.socketWrite0(Native Method)     [junit] 	at java.net.SocketOutputStream.socketWrite(SocketOutputStream.java:92)     [junit] 	at java.net.SocketOutputStream.write(SocketOutputStream.java:136)     [junit] 	at java.io.BufferedOutputStream.flushBuffer(BufferedOutputStream.java:65)     [junit] 	at java.io.BufferedOutputStream.flush(BufferedOutputStream.java:123)     [junit] 	at org.apache.zookeeper.server.quorum.Follower.writePacket(Follower.java:87)     [junit] 	at org.apache.zookeeper.server.quorum.Follower.followLeader(Follower.java:214)     [junit] 	at org.apache.zookeeper.server.quorum.QuorumPeer.run(QuorumPeer.java:401)     [junit] java.io.EOFException     [junit] 	at java.io.DataInputStream.readInt(DataInputStream.java:375)     [junit] 	at org.apache.jute.BinaryInputArchive.readInt(BinaryInputArchive.java:64)     [junit] 	at org.apache.zookeeper.server.quorum.QuorumPacket.deserialize(QuorumPacket.java:65)     [junit] 	at org.apache.jute.BinaryInputArchive.readRecord(BinaryInputArchive.java:109)     [junit] 	at org.apache.zookeeper.server.quorum.Follower.readPacket(Follower.java:100)     [junit] 	at org.apache.zookeeper.server.quorum.Follower.followLeader(Follower.java:201)     [junit] 	at org.apache.zookeeper.server.quorum.QuorumPeer.run(QuorumPeer.java:401)     [junit] java.io.EOFException     [junit] 	at java.io.DataInputStream.readInt(DataInputStream.java:375)     [junit] 	at org.apache.jute.BinaryInputArchive.readInt(BinaryInputArchive.java:64)     [junit] 	at org.apache.zookeeper.server.quorum.QuorumPacket.deserialize(QuorumPacket.java:65)     [junit] 	at org.apache.jute.BinaryInputArchive.readRecord(BinaryInputArchive.java:109)     [junit] 	at org.apache.zookeeper.server.quorum.Follower.readPacket(Follower.java:100)     [junit] 	at org.apache.zookeeper.server.quorum.Follower.followLeader(Follower.java:201)     [junit] 	at org.apache.zookeeper.server.quorum.QuorumPeer.run(QuorumPeer.java:401)     [junit] java.io.EOFException     [junit] 	at java.io.DataInputStream.readInt(DataInputStream.java:375)     [junit] 	at org.apache.jute.BinaryInputArchive.readInt(BinaryInputArchive.java:64)     [junit] 	at org.apache.zookeeper.server.quorum.QuorumPacket.deserialize(QuorumPacket.java:65)     [junit] 	at org.apache.jute.BinaryInputArchive.readRecord(BinaryInputArchive.java:109)     [junit] 	at org.apache.zookeeper.server.quorum.Follower.readPacket(Follower.java:100)     [junit] 	at org.apache.zookeeper.server.quorum.Follower.followLeader(Follower.java:201)     [junit] 	at org.apache.zookeeper.server.quorum.QuorumPeer.run(QuorumPeer.java:401)     [junit] java.net.SocketException: Software caused connection abort: socket write error     [junit] 	at java.net.SocketOutputStream.socketWrite0(Native Method)     [junit] 	at java.net.SocketOutputStream.socketWrite(SocketOutputStream.java:92)     [junit] 	at java.net.SocketOutputStream.write(SocketOutputStream.java:136)     [junit] 	at java.io.BufferedOutputStream.flushBuffer(BufferedOutputStream.java:65)     [junit] 	at java.io.BufferedOutputStream.flush(BufferedOutputStream.java:123)     [junit] 	at org.apache.zookeeper.server.quorum.Follower.writePacket(Follower.java:87)     [junit] 	at org.apache.zookeeper.server.quorum.Follower.followLeader(Follower.java:214)     [junit] 	at org.apache.zookeeper.server.quorum.QuorumPeer.run(QuorumPeer.java:401)     [junit] Test org.apache.zookeeper.test.AsyncTest FAILED     Any idea?"
ZOOKEEPER-111,Does this happen every time or just occasionally?
ZOOKEEPER-111,"Flavio, at least one of the tests that's failing (testHammer) seems related to a quorum problem, can you take a look?"
ZOOKEEPER-111,What type of hardware is this?
ZOOKEEPER-111,Can you upload a new one?
ZOOKEEPER-112,Perhaps DisconnectableZooKeeper maybe?
ZOOKEEPER-115,"Looks like this issue occurs in 2 places: ~line 217 and 331 hmm.... these two sections of code look suspiciously similar, refactoring opportunity?"
ZOOKEEPER-115,I see a small discrepancy: Can setThreads ever be called with a null channel?
ZOOKEEPER-115,Should we remove the null check or is the accept returns null not being handled properly?
ZOOKEEPER-119,"Would you also want these to be hidden from/removed from results presented to the getChildren() method, essentially hiding the /.zookeeper from normal client connections?"
ZOOKEEPER-119,"If so, would there then be separate APIs to see it, or would it be completely verboten for client connections?"
ZOOKEEPER-119,"Maybe it would work to create the concept of hidden files, ala Linux?"
ZOOKEEPER-119,Then create an overloaded getChildren that returns all the hidden files?
ZOOKEEPER-119,Creating a .zookeeper does not seem right since we dont plan hide it?
ZOOKEEPER-119,or do we?
ZOOKEEPER-121,"1) first, why are we calling append on a closed log?"
ZOOKEEPER-121,in what situations?
ZOOKEEPER-121,How is this acceptable?
ZOOKEEPER-124,"stu,  do you mean that the tests are broken?"
ZOOKEEPER-124,I am not sure what the jira means?
ZOOKEEPER-124,Are you not getting statcallbacks?
ZOOKEEPER-124,Correct?
ZOOKEEPER-124,"stu, i just tried the patch on trunk and saw that the test passes on my machine.... what OS are you running on?"
ZOOKEEPER-124,Did you uncomment the two lines I mentioned?
ZOOKEEPER-124,when bang is set to false all of the hammer threads will immediately close their zk clients and exit the run method.
ZOOKEEPER-124,"You do know that if you call something like: watcher = new watcher(); zk.exists(""/foo"", watcher); // sync or async doesn't matter zk.exists(""/foo"", watcher); zk.exists(""/foo"", watcher); that only a single event will ever come back to the watcher, correct?"
ZOOKEEPER-124,"Stu, can you tell me if this issue was addressed with the fix for ZOOKEEPER-137 ?"
ZOOKEEPER-126,was this problem fixed with fixes to the client code in 3.0?
ZOOKEEPER-126,Should this NPE be filed as a new issue or are you all content that this timed close will solve the problem?
ZOOKEEPER-126,Why is this issue pushed to 3.5.0?
ZOOKEEPER-126,Any chance to get this into 3.3.5?
ZOOKEEPER-126,Shouldn't we fix the root issue rather than papering over it?
ZOOKEEPER-127,"If we allow a different port for each peer, then we would need a line in the configuration file for each peer for leader election, right?"
ZOOKEEPER-127,">>If we allow a different port for each peer, then we would need a line in the configuration file for each peer for leader election, right?"
ZOOKEEPER-127,Am I understanding this correctly?
ZOOKEEPER-127,If the le_port isn't specified should we assume to le_port is one more than the quorum port?
ZOOKEEPER-127,server.1=10.20.9.254:2881 is the same as server.1=10.20.9.254:2881:2882?
ZOOKEEPER-127,Did you see my comment about RecvWorker in my last post?
ZOOKEEPER-127,just reviewd the code here are my comments –  1) why is the server id Long and not Integer?
ZOOKEEPER-127,2) we have two ways of specifying the quorum list now – one is quorumserver arraylist and the other is the hashcode list – can we combine these two and just keep the hash aary?
ZOOKEEPER-127,Do we require these two to be different?
ZOOKEEPER-127,3) I do not see nay changes to QuorumPeerMain class?
ZOOKEEPER-127,Shouldnt this be changed now to create a new contructor for QuorumPeer with the hashmap?
ZOOKEEPER-127,Any idea what's happening here?
ZOOKEEPER-127,"Austin, when you say ""our leader election unit tests"" is that something you could contribute back to the Apache ZK community?"
ZOOKEEPER-127,"re stu's npe comment, is that true?"
ZOOKEEPER-127,"I thought I had seen some code in the config processing that indicated that we allowed both host:port and host:port:port, does it npe if host:port is used?"
ZOOKEEPER-127,are there tests for these cases?
ZOOKEEPER-127,host:port and host:port:port?
ZOOKEEPER-129,"chris, would you be willing to provide a complete interface that supports watches?"
ZOOKEEPER-130,"includes=""fairscheduler/build.xml""/> +    </subant> +  </target> +   this does look like copied from hadoop...   can we get rid of this?"
ZOOKEEPER-133,"I'm thrown by: +                // small chance that is hasn't been delivered yet, ignore +                assertEquals(0, watchers[i].events.size()); Why would we ignore?"
ZOOKEEPER-133,"If size > 0, it means that we got an event we weren't expecting right?"
ZOOKEEPER-135,ben let's try to get an updated patch into 3.1?
ZOOKEEPER-135,Isn't there a way to make a dependency from the fatjar build.xml?
ZOOKEEPER-136,"In particular SyncTest.java, perhaps you need to svn add (them)?"
ZOOKEEPER-136,Why do we need a boolean flag to decide whether to process or not?
ZOOKEEPER-136,Is this to differentiate the processing of sync on a leader and on a follower?
ZOOKEEPER-136,Should we remove it and replace with a more representative comment?
ZOOKEEPER-138,"I'm concerned that this change would be pretty late for 3.0, perhaps we should consider moving to 3.1?"
ZOOKEEPER-140,What happens when two peers initiate connections to each other simultaneously without a mutex between initiateConnection and receiveConnection?
ZOOKEEPER-140,Does this analysis sound correct?
ZOOKEEPER-140,"Flavio, could you update the server java code with a summary of this JIRA as a comment?"
ZOOKEEPER-142,Is disconnection correct in this case?
ZOOKEEPER-145,"Maybe it's worth running a jdiff over the 3.0 code and including that, along with the release notes?"
ZOOKEEPER-145,"1) api changes 2) release layout changes 3) documentation location changes 4) java - package struct, jakobs changes for enums 5) c - anything here?"
ZOOKEEPER-148,Moving post 3.0 - why?
ZOOKEEPER-148,do we need to do anything else on this jira?
ZOOKEEPER-148,Does the release process on the wiki need to be edited before we close this?
ZOOKEEPER-152,"flavio, can we get this into 3.3, adding more tests for the leader election?"
ZOOKEEPER-158,how much was the substantial increase in the cpu utilitization ?
ZOOKEEPER-158,Is this the same issue as ZOOKEEPER-427?
ZOOKEEPER-165,How do you think this JIRA should be solved?
ZOOKEEPER-165,Is is enough to just specify in the forrest docs that there is a monitoring contrib ZOOKEEPER-799?
ZOOKEEPER-169,I'll change it to C. Is the example ok?
ZOOKEEPER-169,"+        // To keep it simple, we would demonstrate these 3}      +}     +     +int main() Unknown macro: {    +    zoo_set_debug_level(ZOO_LOG_LEVEL_DEBUG);    +    +    // zookeeper_init returns the handler upon a successful connection, null otherwise    +    zkHandler = zookeeper_init(""localhost}      +      </programlisting>     +     +      <para>Compile the code with the multithreaded library mentioned before.</para>     +      <para><command>> g++ -Iinclude/ zkClient.cpp -lzookeeper_mt -o Client</command></para>    End diff –          can we use a c compiler for consistency?"
ZOOKEEPER-169,Should I report it as a bug?
ZOOKEEPER-169,or just specify in the documentation that a valid zookeeper port should be given?
ZOOKEEPER-178,"Now, is your comment a +1?"
ZOOKEEPER-182,Should I file a patch for src/c/tests/TestZookeeperInit.cc?
ZOOKEEPER-183,"maxim, would you like to file a patch for this?"
ZOOKEEPER-190,How does this look?
ZOOKEEPER-202,What version of zk is the client/server running?
ZOOKEEPER-202,"Mahadev, Is this the one you're talking about:  1982992   concurrency issue in the zookeeper leader code?"
ZOOKEEPER-202,1.2.0-130???
ZOOKEEPER-202,"That's not a zk version number, any idea which version of zk this corresponds to?"
ZOOKEEPER-204,Ben can you upload the class with the patch?
ZOOKEEPER-204,Am I missing anything?
ZOOKEEPER-209,"Flavio, how about a new ""InvalidConfigException"" with proper message about what caused the issue?"
ZOOKEEPER-211,ben can you explain what the bug is and how its fixed in the patch?
ZOOKEEPER-215,perhaps add the ability to run system tests to the fatjar?
ZOOKEEPER-217,"+                throw new IllegalArgumentException(myIdString +                        + "" is not a number"");              } 3) why is parse changed to ""throws Exception"" rather than the more explicit ""throws IllegalArgumentException""?"
ZOOKEEPER-217,"4) specifying the usage in parse seems wrong to me: +        if (args.length != 1)  { +            throw new IllegalArgumentException(""USAGE: configFile""); +        }  How do you know what the usage is going to be?"
ZOOKEEPER-217,"done > why is parse changed to ""throws Exception"" rather than the more explicit ""throws IllegalArgumentException""?"
ZOOKEEPER-221,Looks like ZOOKEEPER-204 has the fix already.. can you verify?
ZOOKEEPER-224,"Hiram, couple things: 1) is the ""GPG project KEY"" different from the key I normally use to sign the release?"
ZOOKEEPER-224,"public release key here: http://svn.apache.org/repos/asf/hadoop/zookeeper/dist/KEYS 2) how do I ""deploy"" it to the location you listed?"
ZOOKEEPER-224,What is that location?
ZOOKEEPER-224,3) do I need to name things in some particular way?
ZOOKEEPER-224,What specific artifacts have to be deployed?
ZOOKEEPER-224,4) what are the security implications?
ZOOKEEPER-224,what keeps someone from signing a zk jar with another key and deploying that?
ZOOKEEPER-224,A few more questions after reviewing: How are the .sha1 files generated?
ZOOKEEPER-224,What's the command?
ZOOKEEPER-224,I update maven-metadata.xml and regenerate the md5/sha1?
ZOOKEEPER-224,And also create a new 3.0.1 subdir at the same level as the 3.0.0 subdir?
ZOOKEEPER-224,Should I include 3.0.0 as well or just 3.0.1?
ZOOKEEPER-224,Q: How are the .sha1 files generated?
ZOOKEEPER-224,What's the command?
ZOOKEEPER-224,A:   prompt> openssl dgst -md5 < inputfile prompt> openssl dgst -sha1 < inputfile   Q: I update maven-metadata.xml and regenerate the md5/sha1?
ZOOKEEPER-224,Q: And also create a new 3.0.1 subdir at the same level as the 3.0.0 subdir?
ZOOKEEPER-224,A: Yes Q: Should I include 3.0.0 as well or just 3.0.1?
ZOOKEEPER-224,Shouldn't the pom & metadata files be either included in svn or generated by the build?
ZOOKEEPER-224,Is there any possibility of deploying zookeeper to maven?
ZOOKEEPER-224,In the next release can we get zookeeper.jar zookeeper-test.jar and bookeeper.jar published to maven?
ZOOKEEPER-224,is there some simple procedure to apply to our built jar files to make them deployable?
ZOOKEEPER-224,i think it is just a matter of running mvn deploy:deploy-file  with the right flags right?
ZOOKEEPER-224,why do we need ivy?
ZOOKEEPER-224,can't we just run the command outside the build process after we do the release?
ZOOKEEPER-224,> why do we need ivy?
ZOOKEEPER-224,right?
ZOOKEEPER-224,right?
ZOOKEEPER-224,"Brian, is this different from what Avro is doing?"
ZOOKEEPER-224,"Are there ZooKeeper SNAPSHOTs artifact published somewhere, for people who want to test them before the ""official"" publication?"
ZOOKEEPER-224,Will you publish sources and javadoc artifacts as Avro does?
ZOOKEEPER-224,For example:  http://repo2.maven.org/maven2/org/apache/hadoop/avro/1.3.0/  Shouldn't be zookeeper-3.4.0-sources.jar instead of zookeeper-3.4.0-src.jar?
ZOOKEEPER-224,That's not sufficient to test?
ZOOKEEPER-224,"I don't know about maven naming conventions, is there a pointer to docs on whether to use sources vs src?"
ZOOKEEPER-224,Where can I find the latest ZooKeeper release candidate?
ZOOKEEPER-224,I send the release candidate vote to the zookeeper-dev mailing list - the link to the RC archive itself is this: http://people.apache.org/~phunt/zookeeper-3.3.0-candidate-0/ would you like to create a JIRA/patch for this src vs sources naming issue?
ZOOKEEPER-230,do we generate too many messages for the leader election notification?
ZOOKEEPER-230,It will increase to insanely large amounts in case of network partition right?
ZOOKEEPER-230,Why is it incremented in the second case?
ZOOKEEPER-230,does this method need to be public?
ZOOKEEPER-231,so we eat sizeof(path)x8 to set quotas?
ZOOKEEPER-231,isn't that excessive?
ZOOKEEPER-231,"If it is a runaway process, sooner or later it will exceed the limit anway b)How would we handle the identity ?"
ZOOKEEPER-231,Do we assume a secure environment or a hostile one ?
ZOOKEEPER-231,"Reason being, if someone wants to expose ZooKeeper as an internet service, wat kind of safeguards do we need ?"
ZOOKEEPER-231,Secure identity mechanisms ?
ZOOKEEPER-231,does that make sense?
ZOOKEEPER-231,"So if tracking per client is high overhead, wouldn't that apply to the trees ?"
ZOOKEEPER-231,What is the normal arit between clients/trees ?
ZOOKEEPER-231,"Again we are talking about clients that store something not the ones that refer to the nodes @Patrick Application/Service makes sense, but how would we reliably know the app name and also deal efficiently with duplicates ?"
ZOOKEEPER-231,Does that help?
ZOOKEEPER-231,"Adding a link to ZOOKEEPER-119 Originally we talked about using /.zookeeper rather than /zookeeper, have we changed our minds on whether that's a good idea or not?"
ZOOKEEPER-231,"RE:acl id, woud it be a good idea to get couple more double clicks and granularities ?"
ZOOKEEPER-231,scheme=ipscheme which classifies the ipaddesses into one of the subnet ids?
ZOOKEEPER-231,"This might be a naive question, but what happens if I create a znode with x bytes, and I try to set a quota for ""x' < x""?"
ZOOKEEPER-231,"Along the same lines, why not enabling to set quotas for nodes that do not exist?"
ZOOKEEPER-231,Do you have an idea if this quota scheme will affect our throughput performance?
ZOOKEEPER-233,"Why not generate two disjoint jar files, one that requires the other?"
ZOOKEEPER-233,I had 2 things in mind: 1) b/w compatibility 2) simplicity (include 1 jar on the classpath rather than 2) other than not duplicating classes in two jars what are the benefits of disjoint?
ZOOKEEPER-233,"or should we have three - client, server, common (marshalling code, etc...)?"
ZOOKEEPER-233,"We have 1 vote from doug to have disjoint, anyone else?"
ZOOKEEPER-233,The one option would be to have 3 jars with the seriliazation/deser code in another jar?
ZOOKEEPER-233,"So, I think we should just include the common ser/deser code in both the client and server for now?"
ZOOKEEPER-233,and have 2 jars but with some common files?
ZOOKEEPER-234,Quick question : What is the approx time frame for 3.1.0 ?
ZOOKEEPER-235,"Is this still an issue, now that client-server ssl is now supported (over netty) in 3.5.1-alpha?"
ZOOKEEPER-235,I think we should close it... Hongchao Deng?
ZOOKEEPER-235,"Is this still an issue, now that client-server ssl is now supported (over netty) in 3.5.1-alpha?"
ZOOKEEPER-236,Do they need to be separate?
ZOOKEEPER-236,Is port unification the correct approach for rolling upgrades?
ZOOKEEPER-236,Is the impact from the use of `BufferedSocket`s during the upgrade acceptable?
ZOOKEEPER-236,Any arguments to the contrary?
ZOOKEEPER-236,What do you think is the best path forward?
ZOOKEEPER-236,"Would you mind clarifying what you mean by ""fault-tolerant"" here?"
ZOOKEEPER-236,Can you give an example of how a fault would break my patch?
ZOOKEEPER-236,What do you think?
ZOOKEEPER-236,Also regarding the path forward do you think we should aim for a Trunk patch or patch to 3.5?
ZOOKEEPER-236,What are your motivations for bringing in Netty?
ZOOKEEPER-236,Do they need to be separate?
ZOOKEEPER-236,Is port unification the correct approach for rolling upgrades?
ZOOKEEPER-236,Any arguments to the contrary?
ZOOKEEPER-236,"Would you mind clarifying what you mean by ""fault-tolerant"" here?"
ZOOKEEPER-236,Can you give an example of how a fault would break my patch?
ZOOKEEPER-236,What do you think about Patrick D. Hunt's recommendation?
ZOOKEEPER-236,"Just in case I am missing something, are there any major functionality differences between my original patch and pull request 188 (besides the documentation)?"
ZOOKEEPER-236,Do you think it would be easier to move forward with the patch I uploaded originally and put your reconfig changes on top of that (as I think the configuration refactoring you did is more appropriate there anyway)?
ZOOKEEPER-236,Do you think it would be easier to move forward with the patch I uploaded originally and put your reconfig changes on top of that (as I think the configuration refactoring you did is more appropriate there anyway)?
ZOOKEEPER-236,I would like to keep the BC helper code What do you mean by bc helper code?
ZOOKEEPER-236,I would like to keep the BC helper code What do you mean by bc helper code?
ZOOKEEPER-236,Why would we want to do this?
ZOOKEEPER-236,"Github user hanm commented on a diff in the pull request:  https://github.com/apache/zookeeper/pull/184#discussion_r110057806     — Diff: src/java/main/org/apache/zookeeper/common/X509UtilTest.java —     @@ -0,0 +1,231 @@     +/**     — End diff –     This is supposed to be a test file, right?"
ZOOKEEPER-236,Does this even build?
ZOOKEEPER-236,*/   protected InetSocketAddress findLeader() {     +    protected QuorumServer findLeader() { 	   End diff –          Not sure why findLeader is returning a QuorumServer instead of InetSocketAddress?
ZOOKEEPER-236,""");                      }  sockConnect(sock, addr, Math.min(self.tickTime * self.syncLimit, remainingInitLimitTime));     +                sockConnect(sock, leader.addr, Math.min(self.tickTime * self.syncLimit, remainingInitLimitTime)); 	   End diff –          leader could be null in leader.addr right?"
ZOOKEEPER-236,Could this be improved so the SSL related code path is only involved when ssl is enabled?
ZOOKEEPER-236,"Github user geek101 commented on a diff in the pull request:  https://github.com/apache/zookeeper/pull/184#discussion_r110086744     — Diff: ivy.xml —     @@ -63,6 +67,9 @@          <dependency org=""commons-collections"" name=""commons-collections""                       rev=""3.2.2"" conf=""test->default""/>     +    <dependency org=""org.bouncycastle"" name=""bcprov-jdk15on"" rev=""1.56"" conf=""test->default""/>     +    <dependency org=""org.bouncycastle"" name=""bcpkix-jdk15on"" rev=""1.56"" conf=""test->default""/>     — End diff –     is this specified twice?"
ZOOKEEPER-236,What do you think about the compromise of moving this to a static method in Leader where it can be tested and prevents cluttering up the constructor logic?
ZOOKEEPER-236,"Github user hanm commented on a diff in the pull request:  https://github.com/apache/zookeeper/pull/184#discussion_r111484712     — Diff: src/java/main/org/apache/zookeeper/common/X509Util.java —     @@ -150,7 +196,7 @@ public static X509KeyManager createKeyManager(String keyStoreLocation, String ke                  KeyStore ks = KeyStore.getInstance(""JKS"");                  inputStream = new FileInputStream(keyStoreFile);                  ks.load(inputStream, keyStorePasswordChars);  KeyManagerFactory kmf = KeyManagerFactory.getInstance(""SunX509"");     +            KeyManagerFactory kmf = KeyManagerFactory.getInstance(""PKIX""); 	   End diff –          Any comments on what this change is for?"
