issueid,post,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,correct_question
rails_rails_issues_8894,"""script/rails"" being used during Generator call
A script/rails file not found error is being thrown when trying to use Rails::Generators::TestCase for custom generations. Error being thrown is:  Shouldn't this be changed to `rails generate` from 3.0? Versions: - rails (3.2.10) - railties (3.2.10) - ammeter (0.2.8)",Can you update your test to match what you're setting and see if it passes?,Would you like to make a pull request with your changes and see if everything works?,Can you please specify exact commands you're using? Thanks.,Did you also installed redis-rails? https://github.com/jodosha/redis-store/tree/master/redis-rails,"Can you run this same command but with `JRUBY_OPTS=""-Xbacktrace.style=raw -Xjit.threshold=0""` and `--trace` passed to rake, please? I need more information about where this is coming from.",Would this be an overkill? (compared to just implementing methods as we encounter more use-cases?),Can you please provide a sample application that reproduces the issue? Thanks.,"Do you generate a test application to test your generator on? If so, it should already have a `script/rails` file.",Would you like to take a stab at it and create a pull request?,Could you try with coffee-rails master?,"Do you generate a test application to test your generator on? If so, it should already have a `script/rails` file."
less_less.js_issues_2048,"Allow !important for rulesets
Currently Less supports !important for rules and mixins. It also would be great to have it supported for rulesets. Something like: ",Can you provide an example that isn't possible today that you'd life to support?,Do you mean the `:empty` pseudo-selector? http://reference.sitepoint.com/css/pseudoclass-empty,"When and why would you want different spacing for array literals, or functions?",What do you guys think?,Do you want to take a shot at it?,"What sort of use cases were you thinking? (This could probably done with a wrapper around the @Input, or with a setter for most cases....)","Who to notify, that this can be closed? (I did not find anything in the readme or contributing guidelines.",Could you please provide some more detail?,Did you do a search before creating the issue? I'm pretty sure that are other issues requesting the same.,"What are you trying to do, exactly? Skipping is generally disabled in the splashscreen.",Did you do a search before creating the issue? I'm pretty sure that are other issues requesting the same.
defunctzombie_node-browser-resolve_issues_19,"don't require explicit file extension
https://github.com/substack/coffeeify/issues/1",Could you update?,Does this work? ,Could you send a list of functions you'd like to see added to `win_file.py`?,What you expected to happen instead Requesting a new rule? Please see [Proposing a New Rule](http://eslint.org/docs/developer-guide/contributing/new-rules) for instructions.,"Does Poetry make use of MANIFEST.in? A quick skim of its documentation [implies that it doesn't](https://poetry.eustace.io/docs/pyproject/#include-and-exclude), which would make check-manifest not useful for projects using Poetry. Am I mistaken?",could be an issue with last.fm?,Does the executable have executable permissions (chmod +x path/to/executable)?,Do you mind providing a PR that fixes this and shows in an added test what it addresses? Thanks.,What's the output of `pg_config --pgxs`? Make sure you have the proper `pg_config` in your path!,Can we have a way to alter this behaviour? It would be very handy for substack/node-browserify#336,Can we have a way to alter this behaviour? It would be very handy for substack/node-browserify#336
symfony_symfony_issues_21598,"Browserkit generate two HTTP_Referer
| Q | A | ---------------- | ----- | Bug report? | yes | Feature request? | no | BC Break report? | no | RFC? | no | Symfony version | 2.8.16 Hi, there I found when I make client request with custom Referer header, there are always generate another one. Code below,  Is there any method change or delete the generated HTTP_REFERER? Thank you.",Can you please show the full error you get including its stack trace?,How is the crawler supposed to know that you are interested in the checkbox when both fields have the same name?,What is the issue with Twig 2 ?,What about calling `$client->getHistory()->clear()` between calls? However.. from the client perspective updating the referer makes really sense. Ie. how come your history is not empty? See also https://github.com/symfony/symfony/blob/master/src/Symfony/Component/BrowserKit/Client.php#L274,"What do you think? Regards, Fabien",what's the use-case?,How did you run PHPUnit? Can you provide some steps to reproduce your issue?,"What's the issue actually? Even a simple `session->has()` makes the HTTP resource uncacheable, so it is actually accurate to send this header, isn't it?",Can you maybe push a small example project that can be used to reproduce your issue?,Can you describe the steps you performed to end up with this error?,What about calling `$client->getHistory()->clear()` between calls? However.. from the client perspective updating the referer makes really sense. Ie. how come your history is not empty? See also https://github.com/symfony/symfony/blob/master/src/Symfony/Component/BrowserKit/Client.php#L274
jmaih_RISE_toolbox_issues_117,"2nd vs 1st Order Simulation - Different Steady States?
Hello, Mr. Maih and RISE Community. I have a simple New Keynesian model with two exogenous switching regimes. The model is nonlinear. When I do 1st order simulation, everything goes as expected, i.e., I can replicate the 1st order IRFs. Yet, when it comes to 2nd order simulation, my variables converge to a different steady state, even when I set all shocks to zero and fix the regime path at, say, regime 1. In this case, I would expect all variables to stay put, which is not happening. I feel like missing something pretty obvious, so I'm sorry if the question is too basic My codes are attached. Running ""Run_Simulation"" should replicate the weird result I mentioned above. Thank you very much for your patience and, once again, congratulations for the really great job! Greetings from Brazil. [Simulation.zip](https://github.com/jmaih/RISE_toolbox/files/3668501/Simulation.zip)",Can you share a screenshot? cc: @MingboPeng,Could you throw it up as a gist?,Does that help?,"Could, please, send me the replication files for the error? Thanks, J.",can you repro the issue in the Playground?,Will be be able to pick any point in the cloth and drag it? ;),did you check the advanced settings?,"Can you attache the ORK file? There are setting that adjust when the different stages ignite. It could be something wrong in those. Thanks, Wes","Will you, please, tell me whether you are using the current online version of RISE or another? Thanks, J.",Did you start the render? The second image looks like just the preview image.,"Will you, please, tell me whether you are using the current online version of RISE or another? Thanks, J."
dmwm_CRABClient_issues_2144,"Initial server contact is always to default server
Mark this as invalid if you think it really is. No matter what server I have specified in my crabConfig.py, we initially in SubCommand try to contact the CERN server. I don't think this is correct behavior. I _think_ what happens is that if that server is up, I can then submit to my own server specified in the config python. But if it's down, I have to specify -s on the command line to get it to fully bypass the ""default"" server.",What version of Tinyboard do you use? What version of PHP? And what HTTPd do you use?,Which part expects a pid file? The only things that should look for a pid are the commands that need a running server to execute. Is this when using `load_test_server`?,"Would you check content of jedi.el and jedi-core.el ? (I suppose there are under `~/.emacs.d/el-get/emacs-jedi/`) If they are HTML, the installation was failed. And please reinstall emacs-jedi again.",What version are you using? **/ver VoxelSniper**,What is the output of https://federationtester.matrix.org/ ?,What do you think?,Can't reproduce the freaking out part - any more steps to make this happen?,Can you fix that and then explain to me what issue you're seeing?,"Can you set `debug: console.log` and post the results (removing the host IP from the output)? Also, the `'authentication'` event is for server contexts, not clients.",Can you show me your Paths.yml file and the Settings.yml file?,What do you think?
symfony_symfony_issues_12274,"[DX] Proposal: Abstraction layer for functionnal testing
Hello everyone! This issue is a proposal: it's an idea I give because I implemented it and I find it useful. I would like to share it and ask opinions as I think it would be a great improvement in Symfony2 tests usage. # The problem The testing capabilities of Symfony are very useful, especially when it comes to functonnal testing. It promotes testing in PHP applications and it's great. However, I think there is a problem with the current implementation: it too low-level (and Behat is much too complex to set up for beginners). The classic example is the authentication in tests: the doc is great but let's be honest, having to include 10 lines of obscure code is not really easy and intuitive. # The idea The idea is to implement useful helpers in `WebTestCase` class. For the moment, the helpers I can think of would be: - a login helper, as presented here : http://symfony.com/doc/current/cookbook/testing/simulating_authentication.html ; - a crawler filter for the content (globally, it would in fact do a XPath filter on `html:contains(xxx)`) - a simpler way to select and send forms (the ideal would be in a line of code) ; It is an idea to debate. What do you think?",What are the errors you're getting? Can you post the Rails app or a sample for me to see?,"How does test-file auto-discovery work in language X? Is there an Rspec-style library? A JUnit-style library? Then again, the line between ""fluency"" and ""proficiency"" is blurry to me.",Why does this need to be a flag in the go tool? It's already pretty crowded. You can use https://github.com/nathany/looper to do this.,Could you please use our [ISSUE_TEMPLATE](https://raw.githubusercontent.com/babel/babel/master/.github/ISSUE_TEMPLATE.md)?,"Would this be enough for you? If not, what is missing/different?","Would you mind showing me an example of the undesired vs desired behaviors, please? Thanks again for reporting!",Do you think things would be simpler if we provided helpers for common test tasks such as authenticating a user?,Maybe it's related to #11221?,Why couldn't you name it `Vendor1MyBundle` ? The only place where you need to use the class is the kernel anyway.,What are those?,Do you think things would be simpler if we provided helpers for common test tasks such as authenticating a user?
scala-js_scala-js_issues_1472,"Why not package in jar?
Hi, I am surely missing something. But what is the reason the javascript files don't make it into the (or ""a"") jar file? I am migrating some coffee code to scalajs and am first building a reference project (which i will also publish in a blog article). I would like my server project just to depend on the ""client"" (js) project using regular jar files. I can then serve the javascript from using the resources (like with webjars). At this moment i am forcing the javascript to go into the jar, but i my feeling says that because this is not the default behaviour i must be missing something. The forcing is now done like:  When i then do 'fastOptJS;package i get the package i need. So my questions (or rather suggested answers) - should i not do this, because there is a standard way of doing this? - should i not do this because it will create problems (and this is possible the reason it is not default behaviour) - I can safely do this tx.,",Does that help?,Did you restart the build after updating the `build.sbt` file?,Why can't they be added and pushed to the dependency projects?,Does that make sense?,Can you point it out ?,Do you know whether I can just edit the `.gitsubmodules` file and swap `git://github.com/xolox/vim-misc.git` with `https://github.com/xolox/vim-misc.git`?,"could you share us also the content of /data/projects.php ? also as far as I can remember, register_globals should be set to Off",What happens if you search using the new `accessibility_id` strategy?,How does the helper actually work?,Did you have a look at that?,Does that make sense?
angular_angular_issues_17654,"Intermittent router issue - same url, different route matches
## I'm submitting a ... <!-- Check one of the following options with ""x"" --> <pre><code> [ ] Regression (behavior that used to work and stopped working in a new release) [x ] Bug report <!-- Please search github for a similar issue or PR before submitting --> [ ] Feature request [ ] Documentation issue or request [ ] Support request => Please do not submit support request here, instead see https://github.com/angular/angular/blob/master/CONTRIBUTING.md#question </code></pre> ## Current behavior I'm opening the following URL /cases/new;companyId=2 and I have the following routes for cases:  this is then hooked up to the app.routing using  I'm checking the ID in the resolver to trigger one of 2 behaviors depending on whether the user is creating a new case or opening up an existing one. Usually this works fine and the url does indeed hit the /new path so route.params.id is indeed null and we have a companyId=2. ![2017-06-20_11h52_18](https://user-images.githubusercontent.com/2715732/27369607-ff0a59b4-5658-11e7-8b2a-f4a472f110a5.jpg) Every now and then, however, angular would treat /new;companyId=2 as my id param from the path: ':id' route so I get this ![2017-06-20_11h51_00](https://user-images.githubusercontent.com/2715732/27369634-1fc03b10-5659-11e7-8355-4ad1f27f56f5.jpg) As I said, nothing changes on my part - I'm just refreshing the same URL and debugging a completely unrelated problem with one of my forms. ## Expected behavior <!-- Describe what the desired behavior would be. --> I expect to hit the /new path every single time I refresh /cases/new;companyId=2. ## Minimal reproduction of the problem with instructions I can't reproduce the issue in the plunker but I've mimicked the same setup in the plunker below and in the screenshots above I show how once the same url is being recognized as an id param and the other time it's properly parsed as /new + optional param companyId=2 http://plnkr.co/edit/BgzdAYEz5jJbF0RhGPEt?p=preview ## What is the motivation / use case for changing the behavior? I'd expect the router to always behave in the same way in a certain scenario. ## Please tell us about your environment <pre><code> @angular/cli: 1.1.0 node: 6.10.0 os: win32 x64 @angular/animations: 4.1.3 @angular/common: 4.1.3 @angular/compiler: 4.1.3 @angular/core: 4.1.3 @angular/flex-layout: 2.0.0-beta.8 @angular/forms: 4.1.3 @angular/http: 4.1.3 @angular/material: 2.0.0-beta.6 @angular/platform-browser: 4.1.3 @angular/platform-browser-dynamic: 4.1.3 @angular/router: 4.1.3 @angular/cli: 1.1.0 @angular/compiler-cli: 4.1.3 <!-- Check whether this is still an issue in the most recent Angular version --> Browser: - [x ] Chrome (desktop) version XX - [ ] Chrome (Android) version XX - [ ] Chrome (iOS) version XX - [ ] Firefox version XX - [ ] Safari (desktop) version XX - [ ] Safari (iOS) version XX - [ ] IE version XX - [ ] Edge version XX Others: <!-- Anything else relevant? Operating system version, IDE, package manager, HTTP server, ... --> </code></pre>","Did you do any improvement on this, or created a workaround?",Does that make sense?,"What does requestSubscription() resolve to? What does await (await navigator.serviceWorker.getRegistration()).pushManager.getSubscription() resolve to if you call it manually? <sub>Again, this is really hard to investigate without a reproduction :grin:</sub>",Can you please provide a minimal reproduction? here's a plunkr to get you started http://plnkr.co/edit/tpl:AvJOMERrnz94ekVua0u5,What does the network request for https://angular.io/api-api-list-module-ngfactory.4ade242c5de7a2aa85d8.js look like? E.g. what is the response (as shown in the DevTools Network tab)?,What version of node are you using? And have you used yarn to install dependencies?,did u install typings for css-element-queries?,Did you checked the data is set in service by adding console.log in service??,Could you open an issue about that (or even submit a PR :wink:)?,Could you please provide a minimum repro in a form of GitHub repository and also list a set of commands you used to reproduce the problem? Thank you.,Can you please provide a minimal reproduction? here's a plunkr to get you started http://plnkr.co/edit/tpl:AvJOMERrnz94ekVua0u5
sublimehq_sublime_text_issues_845,"Only two matches for ""aa"" found in ""aaaa""
When I search e.g. for ""aa"" in a document containing ""aaaa"", repeatedly finding next never finds the middle instance of ""aa"". That is, the matches are ""**aa**aa"" and ""aa**aa**"" but never ""a**aa**a"". I'm using ST3 (build 3083) on Windows 7 Enterprise 64-bit.",Can we close?,"Can you please update this jsbin so that it demonstrates the bug and then re-open the ticket? Thank you! http://jsbin.com/deboparife/edit?html,output",Can i ask you to create a skeleton project that resembles your setup and reproduces the error?,Where do you get the behavior you describe?,can you supply a sample project where you have this issue so that i can see if i can reproduce it? :),Does the host machine have enough free disk space to unpack the box?,Can you point to it?,"How you're specifying ""substring"" matching? flx does not allow you to specify a matching method.",What instructions are you following? It would probably just be easier to use our binaries if you're going to run on a roboRIO.,Did you customize the coloredlogs default styling?,Where do you get the behavior you describe?
ros-controls_ros_controllers_issues_159,"diff_drive_controller doesn't use joint.velocity
In https://github.com/ros-controls/ros_controllers/blob/indigo-devel/diff_drive_controller/src/odometry.cpp#L78, diff_drive_controller currently differentiates joint.position to obtain velocity, differentiates again to obtain acceleration, and then obtains the final odometry twist component by integrating acceleration. This results in filtered twist component on the outgoing odometry with a very slow response. Since it's possible to update joint.velocity directly from hardware, would it be possible to generate the twist message directly from this information, improving the response? Could either parametrize or detect from incoming data whether the velocity information is filled out.","Would it be possible to also share a (part of) of the recorded trajectory, so that we can possibly turn the issue into a proper unit-test?",Would this be sufficient for your use case? I'm asking this because joint handles currently don't support acceleration.,Which ROS distribution are you running?,docker now calls a `Capabilities` endpoint on the plugin which can return if it can reproduce exact diffs... https://github.com/moby/moby/blob/master/daemon/graphdriver/driver.go#L123 Does this work for you?,Where do you need it? I'd prefer to put all new stuff on Kinetic and forwards.,Can you tell us how you start the involved launch files? Which parameters do you use?,Could you reproduce this in a small repository that you can share with us?,Can you try that and see if it works?,Why are you building `ros_control` from source in the first place?,Could you give me an example?,Would this be sufficient for your use case? I'm asking this because joint handles currently don't support acceleration.
socketio_socket.io_issues_2648,"[https] Connection closed before receiving a handshake respons
Can't find out a solution, I get this error on the browser console: My code client: `io.socket('https://iosock.dayl.toancauxanh.vn:5432', {transports:['polling', 'websocket'], query: 'token=343', secure: true });` Can you help me?",Which passenger version are you using? Maybe related with https://github.com/rails/rails/issues/27421?,Could you please create a sample application that we can run locally to reproduce the problem? See http://loopback.io/doc/en/contrib/Reporting-issues.html#bug-report,Can you verify that the problem still happens with version 1.3.9?,Do you have some proxy or something inbetween? It would need to be configured to redirect the websocket connection.,Did you have a method that you knew of for obtaining this information?,What version are you running? One of the main releases or a checkout from here?,Where are you hosting this code? It appears to be a network problem,Did you succeed with that? I have same problem.,"What happens if you turn ssl off, if that's possible? Or test generic websocket connections over wss:// without involving socket.io and see if that works?",Would it be possible to test the exact same code you're running in Yosemite?,"What happens if you turn ssl off, if that's possible? Or test generic websocket connections over wss:// without involving socket.io and see if that works?"
sitespeedio_sitespeed.io_issues_1981,"how can i save all the testing results(data that shows in the html report) into my own influxdb server ,or where can i get that data from sitespeed
how can i save all the testing results which is the data that shows in the html report into my own influxdb server,or where can i get that data from sitespeed,thank you",What is the output of https://federationtester.matrix.org/ ?,Do you run your own WebPageTest instance? Can you share your config so I can try to reproduce? Best Peter,did you solve it?,Can you test that and get back so I know if it works or not? All the best Peter,How is this not a duplicate of #1596?,Do you have anything else running on that machine? Thinking something breaks the communication between Chrome/Chromedriver? Best Peter,Can you verify that you can reach the machine from where you run sitespeed? Best Peter,Which server are you using? The buffer size is configurable and default to 8192 (see [org.atmosphere.websocket.bufferSize](http://atmosphere.github.com/atmosphere/apidocs/org/atmosphere/cpr/ApplicationConfig.html#WEBSOCKET_BUFFER_SIZE) if you are suing Jetty.,What are the contents for page-my_custom_page.php ? Does it shows something? is PHP being executed?,What kind of chart are you trying to create?,Can you verify that you can reach the machine from where you run sitespeed? Best Peter
AdiAddons_AdiBags_issues_16,"Random Items Filter to New Items Occasionally
Every now and then bags will sort all items into the ""Recent items"" category regardless of how long they've been in your bags. I hope the attached screenshot shows why this is a problem. (It goes off the screen.) ![image](https://cloud.githubusercontent.com/assets/644092/5513737/14ad895a-87c4-11e4-87da-558eff31392f.png) Most times you can work around it temporarily by closing/reopening bags, or by clicking the ""Reset new items"" button. This doesn't always work. This started happening a couple of versions ago, I believe as of 1.8.0. I'm currently running 1.8.2.",Do you have auto-sorting enabled ?,can you pose the ardupiloemegaplanner.log file?,Can you show us some example code or some debugging information as to what events are causing the player b to show up as being rewarded?,Do you perhaps have a demo URL with the issue above that you could point me to where I could take a look? Thanks,Would you be up for having a look at the underlying problem?,What browser were you trying? And would you need it when moveOnSelect is enabled (when there is no Move/Remove buttons)?,Did you recently updated from rv1? (Or does this cell exist since rv1),Could you provide a **reduced test case**? See [Submitting Issues in the contributing guidelines](https://github.com/desandro/masonry/blob/master/CONTRIBUTING.mdown#submitting-issues).,"Do you use optifine or such, which are not compatible with this version?",Did you try to revert? Does the console say anything relevant? Plugins that might interfere?,Do you have auto-sorting enabled ?
Hexxeh_rpi-firmware_issues_98,"Problem reading serial USB port with version 4.1.15+
With this version I have problems with reading to open /dev/ttyUSB0. Can not read data anymore. It is solved with a roll-back to version 4.1.14 lsusb Bus 001 Device 004: ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port",What baudrate are you using with the UARTs?,What Version of libmbus you use? Directly cloned from GitHub or an older one?,"What do you see as being the problem? HIDAPI only shows HID devices, not all USB devices.",Can you try and reproduce this with current git master?,Maybe @sodabrew could help?,What does this report?,How are you programming the G4 commands? They maybe invalid. Can you also supply a snippet of your problem program to get an idea of what you are sending?,"What length would be enough, you think?",What is the value of $TERM? Thanks.,Can you confirm that https://github.com/Hexxeh/rpi-firmware/commit/17cf280ac76df9d9c3d1305709cc2d74fbc371b9 fails and https://github.com/Hexxeh/rpi-firmware/commit/98e801605b31a5d7a4c36de5cb1d0e33ce95e8ab is okay? The only change between those two points was upstream kernel changes.,Can you confirm that https://github.com/Hexxeh/rpi-firmware/commit/17cf280ac76df9d9c3d1305709cc2d74fbc371b9 fails and https://github.com/Hexxeh/rpi-firmware/commit/98e801605b31a5d7a4c36de5cb1d0e33ce95e8ab is okay? The only change between those two points was upstream kernel changes.
rails_activerecord-session_store_issues_83,"Intermittent success with Devise sign in after installing activerecord-session_store in rails 4.2.6
I installed activerecord-session_store the other day and all seemed well. Deployed to production, and fixed an issue I was having with something else. Only issue now is that ~30% of the time sign in with devise isn't working correctly. The sign in appears to authenticate and redirect to the correct user page, but current_user is gone... So, assuming this has to do with using activerecord-session_store. Using ",Can you upload a sample application on Github that reproduces the issue? Thanks.,"Could you push an example app to Github showing the issue? Btw, there is no generator devise:model, it's called devise only =).",Can you confirm if the following works? ,Can you please provide a sample application that reproduces the error?,Should we fail or should we simply return 200 ok? Could you please try to provide a patch?,Can you please create a smaller application where I can reproduce the error?,Can you verify whether or not the issue you were experiencing was related to an invalid CSRF token?,Can you please provide a sample application that reproduces the error?,Can you please create a small application and publish on Github so I can investigate further?,"Which devise version? If 1.2, you do Need to overwrite your controller",Can you verify whether or not the issue you were experiencing was related to an invalid CSRF token?
davidhalter_jedi_issues_1388,"Jedi struggles with pybind11 modules
We want to offer a completion for our pybind11 modules using Jedi 0.15.1. I don't understand why it works sometime and sometimes not. Let's start with a simple example:  Jedi is able to complete the module, the object Pet and its functions. But we get no information about the parameters and we are not able to complete the return type of the function getName(). The curious thing is that the Jedi Interpreter is able to complete it. But only if a docstring is given. So our questions are: 1. Why is Jedi not able to complete the pybind11 modules without any help of the docstrings? 2. Why sometimes Jedi is able to offer signatures and completions using the docstring and sometimes don't? 3. Why can Jedi interpret the dosctrings for objects when using the interpreter, but not when using Script.completions()? 4. What would be the right approach for completing pybind11 modules, functions and objects? @davidhalter This is the issue you suggested on stackoverflow, but hopefully with more helpful information: [How to set __doc__ correctly for the autocompletion of C++ libraries](https://stackoverflow.com/questions/56739155/how-to-set-doc-correctly-for-the-autocompletion-of-c-libraries)",Could you remove older version and try again ?,Can you post `python --version` and `:python import sys; print(sys.version_info)` in VIM?,"Do you see company completion on ordinary names? That is, is it failing on $ names? How about `::` ?","Does that help? I plan on removing the support for those ""docstring signatures"". It's just not where Python is heading and it's kind of hard to parse.",How do you profile vim that way?,What's the output of :python3 import numpy; print(numpy) ?,What if you reorder them?,Could you send `:messages`? And please give me another example then `pycassa`. You also should delete `~/.cache/jedi/` if you switch dev/master branches.,Does that mean that since V8 6 (about a year) stack traces were broken with --abort-on-uncaught-exception? Would be interesting to see how many people actually use the flag and how.,Could you send me a traceback (and maybe sources)? I'm wondering what causes this.,"Does that help? I plan on removing the support for those ""docstring signatures"". It's just not where Python is heading and it's kind of hard to parse."
netdata_netdata_issues_5297,"Bandwidth counter overflow on master when slave rebooted
##### Bug report summary When a Netdata slave is rebooted, the IP bandwidth counter displays correctly on the slave's dashboard. However, when the slave is viewed from the master's dashboard, there's a huge spike (3.8 Gbps) just after the reboot. This is on a system with a gigabit interface. There are other systems where a reboot causes an even higher spike like 2 million terabits/s. **Master** ![screenshot from 2019-01-30 14-47-26](https://user-images.githubusercontent.com/47179206/51985464-35597a80-249e-11e9-971d-76057f6ebae0.png) **Slave** ![screenshot from 2019-01-30 14-47-36](https://user-images.githubusercontent.com/47179206/51985465-35597a80-249e-11e9-823b-f6cdae3d087f.png) ##### OS / Environment Debian Stretch ##### Netdata version (ouput of `netdata -V`) netdata 1.11.1+dfsg-2 ##### Component name proc_net plugin ##### Steps To Reproduce Set up netdata in a master-slave configuration and reboot the slave. Watch the dashboard provided by the master and see the bandwidth spike up after the reboot has completed. ##### Expected behavior Netdata should handle the interface reset correctly and not display unrealistic values.",Can you paste the log entries in `/var/log/netdata/error.log` around one of those time periods?,"How does your URL format look like? Can this be reproduced without a bundle, just with plain DBAL?",Could you please check it?,"Can you search for the pids in error.log? Interesting is 476. I guess 893 and 962 are `alarm-notify.sh`, but what is 476?",What do you have in `/var/log/netdata/debug.log` when netdata crashes?,Can you please test #5317 and let us know if it works for you? You'll need to compile from source.,Did you have the same problem with old Netdata version? Best regards!,Did you do that?,"Can you give us the output of `ps -Lewwo ""pid,tid,ppid,user,comm,wchan:20,args""`?",What's the configuration of your scenario? These configurations in three redis will help to find the problem: bind in redis.conf & sentinel.conf sentinel monitor in sentinel.conf replicaofreplicaof in redis.conf,Can you please test #5317 and let us know if it works for you? You'll need to compile from source.
BuildCraft_BuildCraft_issues_1255,"Pumps, Redstone, and Gate Actions...
So I run BC with Railcraft and Traincraft and Mystcraft. I think Railcraft has the World Anchor, which is essentially a chunk loader. I made a Mystcraft age, and was lucky enough to find a massive underground lava lake. I placed the world anchor (keept loaded 9x9 chunks), keep it fueled, placed the pump near it, and it started to work. Then I placed an ender tank on top of the pump and it sent the lava to my homebase in another dimension. Now here's the problem: Once I leave the Mystcraft age and go back to the base in overworld dimension, lava stops being sent from the Mystcraft dimension. So I go back to the age to check it out, and the pump is no longer working. I have to break the pump and replace it to work again. If I leave the age/dimension, it'll stop working again. At first I thiought it was the Railcraft World Anchor malfunctioning, so I went with chicken chunk loader, same problem. So essentially I'm stuck in the Mystcraft age to keep the lava pumping. I also thought it was the Mystcraft age causing it, so I went to the Nether. Same problem.",What version of rest assured are you using? This should work in 3.0.0.,"How would lava be null? Also, the ForgeModLoader-client-0.log might help.","What are you checking the names with, WAILA/TOP or the interface terminal/the terminal itself?",Does it only apply to Lava or all Fluids? Is is MCPC+?,"Would you mind submitting a pull request for that on branch 2.3.x, 2.4.x and 2.5.x? Thanks",Can you see this one? http://mrdoob.github.com/three.js/examples/webgl_shader_lava.html,"Why are you still using ChickenChunks in 1.10, though?",Maybe it's the same thing as the oxygen depletion bug?,What version of overviewer are you using? You can find this out by running `overviewer.exe --version`.,What happens if you take off the knapsack while in the age?,Does it only apply to Lava or all Fluids? Is is MCPC+?
bwillis_versioncake_issues_67,"Does this gem support semantic versioning ?
Hi am planning to use this gem for api versioning but one of the requirement is to support semantic versioning ie x.y.z. is there some way to use this versioning scheme instead of expecting it to be to_i",Did you see the versioning-related items in the recent weave releases? https://github.com/zettio/weave/blob/master/CHANGELOG.md. The issues you describe should be addressed by those.,Could you be more specific? Are you suggesting a CHANGELOG.md file? Perhaps a PR would help me understand better...,"could be related to https://github.com/owncloud/core/issues/6286 Could you check the versions folder (data/user/files_versions/) on your server, how many versions are stored there?","Would pull requests for some of these changes be accepted, or is that kind of core work meant to come Stylus members rather than contributors?","Could numpy be considered to be using semantic versioning, but with a leading `1`?",Would a stack of middlewares passed as a parameter of the Router would do ?,Does #46 answer your question?,Why should this affect plugins against version 2.3.x? Is there an error?,shouldn't that be the ref managers' job? - wouldn't seem so hard to include in an upgrade routine.,"Would you be interested in helping on that topic, i.e designing a clean API to define various flavours of ""version range specifications""?",Does #46 answer your question?
libfirm_cparser_issues_23,"Ambiguities not correctly resolved & yacc grammar
Under the ""tests"" directory in C11parser (on GitHub: https://github.com/jhjourdan/C11parser) you will find a range of programs that exercise some of the more arcane ambiguities that many C11/C18 implementations get wrong -- including yours. False negatives (errors reported by cparser that are not errors) in: atomic.c, c11-noreturn.c, c1x-alignas.c, control-scope.c, function_parameter_scope.c, function_parameter_scope_extends.c, if_scopes.c, loop_scopes.c False Positives (programs accepted by cparser that have errors) in: bitfield_declaration_ambiguity.c, dangling_else_lookahead.c, dangling_else_lookahead.if.c, parameter_declaration_ambiguity.c, parameter_declaration_ambiguity.test.c The following also require further examination: aligned_struct_c18.c, atomic_parenthesis.c, bitfield_declaration_ambiguity.ok.c, bitfield_declaration_ambiguity.fail.c, dangling_else_misleading.fail.c The C11parser contains a parser that correctly resolves the first 2 groups of programs. The lexer and parser are in CAML, but the lexer is readily convertible to C and a YACC version of the parser is also provided. The companion article describing the situation more fully may be found here: http://gallium.inria.fr/~fpottier/publis/jourdan-fpottier-2016.pdf The most important points made in it are that scopes are not always contiguous (as illustrated by the *scope*.c test files above) and resolving variable/typedef name ambiguity requires lookahead (as illustrated in *dangling*.c, *declaration*.c). The easiest way to fix the problems -- in the process significantly simplifying cparser(!) - is to integrate the lexer and yacc grammar into cparser.",Do you want to turn your issue into a request to build it as part of the standard kernel releases?,Which PHP version are you using?,Can you post your config.log?,do you have a real world example that you would like to support on jruby?,Could try to update all libraries again and rerun those tests?,Maybe @sodabrew could help?,Which compiler is it that doesn't support this stuff?,Can you provide a specific example that you think has this property?,Did you manage to find an exploit in version 1.0.1 of gRPC? That's... completely irrelevant at this point. I'm certain we've fixed this one already a long time ago.,Can you try: ``cmake -DCMAKE_INSTALL_PREFIX=/usr ..'' ?,Can you provide a specific example that you think has this property?
graphite-project_graphite-web_issues_1635,"/events/get_data fails to return events with tag names having more than so many characters
Attempted to retrieve event by tag name without success. I tested with two different tags that both exist as events. One is 49 characters long and the other, 54. The former is returned, the latter is not. `curl 'http://graphite/events/get_data?tags=tag_name_that_is_forty_nine_characters_long_truly'`  Is there some kind of character limitation at 50 characters or so that is preventing the specific tag to be retrieved by name? Using graphite-web debian package 0.9.12+debian-6","Why? Because if you want, you can use devtools or other things to cut the Trumbowyg security making it useless.","Could you just `curl` the stream, analyse it to discover event names, then write the code to handle the events you're interested in?",What error? I believe it's a minecraft limitation.,"Which backend do you use for Django, @scosist? Default one, SQLite? Just shooting in the dark, though.","Would you be able to post a [runnable, stripped-down demonstration of the bug](http://fullcalendar.io/wiki/Reduced-Test-Cases/)? Would really appreciate it because the time saved reproducing will be time spent fixing.","What do you mean by ""default images""?",Would something like `/^<\/?[^ >]+/` work?,did you run the update within MISP?,Do you know a character that is definitely safe to use other than `-_.~`?,Do you use ultisnip or another vim plugins to expand snippets?,"Which backend do you use for Django, @scosist? Default one, SQLite? Just shooting in the dark, though."
